text,target,clean_text
"I'm always worried about money, and it's causing me a lot of stress.",0,always worried money causing stress
I'm struggling to make ends meet and pay my bills on time.,0,struggling make ends meet bills time
"I feel like I'm always living paycheck to paycheck, and I can't seem to save any money.",0,feel like always living paycheck paycheck seem save money
I'm worried that I'll never be able to pay off my debt and achieve financial stability.,0,worried never able debt achieve financial stability
I'm constantly feeling guilty about my spending habits and financial decisions.,0,constantly feeling guilty spending habits financial decisions
I'm afraid of losing my job or having a financial emergency that I can't handle.,0,afraid losing financial emergency handle
I'm struggling to find a balance between saving for the future and enjoying the present.,0,struggling find balance saving future enjoying present
I feel like I'm always behind in my financial goals and responsibilities.,0,feel like always behind financial goals responsibilities
I'm worried that I'll never be able to afford the things I really want or need.,0,worried never able afford things really want need
I'm constantly feeling stressed and anxious about my financial situation.,0,constantly feeling stressed anxious financial situation
I'm struggling to manage my money effectively and make smart financial decisions.,0,struggling manage money effectively make smart financial decisions
I'm worried that my financial stress is affecting my mental health and overall well-being.,0,worried financial stress affecting mental health overall well
I feel like I'm always sacrificing my own needs and wants to pay my bills and debts.,0,feel like always sacrificing needs wants bills debts
"I'm afraid of the potential consequences of my financial situation, such as eviction or bankruptcy.",0,afraid potential consequences financial situation eviction bankruptcy
I'm constantly worrying about unexpected expenses and how I'll be able to pay for them.,0,constantly worrying unexpected expenses able
I'm struggling to find ways to increase my income and improve my financial situation.,0,struggling find ways increase income improve financial situation
I feel like I'm always playing catch-up with my bills and debts.,0,feel like always playing catch bills debts
I'm worried that my financial stress is affecting my relationships with others.,0,worried financial stress affecting relationships others
I'm constantly feeling overwhelmed by my financial responsibilities and obligations.,0,constantly feeling overwhelmed financial responsibilities obligations
I'm struggling to find a way to save money and plan for the future.,0,struggling find save money plan future
I feel like I'm always making sacrifices and compromises in order to save money.,0,feel like always making sacrifices compromises order save money
I'm afraid of taking risks or investing in my future because of my financial stress.,0,afraid taking risks investing future financial stress
I'm worried that my financial stress is affecting my work performance and career.,0,worried financial stress affecting work performance career
I'm constantly feeling ashamed or embarrassed about my financial situation.,0,constantly feeling ashamed embarrassed financial situation
I'm struggling to find a way to break the cycle of financial stress and debt.,0,struggling find break cycle financial stress debt
I feel like I'm always lacking the resources and support I need to improve my financial situation.,0,feel like always lacking resources support need improve financial situation
I'm worried that my financial stress is affecting my ability to be a good parent or partner.,0,worried financial stress affecting ability good parent partner
I'm constantly feeling like I'm not in control of my financial situation.,0,constantly feeling like control financial situation
I'm struggling to find a way to reduce my debt and expenses.,0,struggling find reduce debt expenses
I feel like I'm always making sacrifices in my lifestyle and quality of life due to financial stress.,0,feel like always making sacrifices lifestyle quality life financial stress
I'm worried that I'll never be able to retire or have financial security in the future.,0,worried never able retire financial security future
I'm constantly feeling like I'm drowning in bills and expenses.,0,constantly feeling like drowning bills expenses
I'm struggling to find a way to stay motivated and positive about my financial situation.,0,struggling find stay motivated positive financial situation
I feel like I'm always missing out on opportunities or experiences because of my financial stress.,0,feel like always missing opportunities experiences financial stress
I'm worried that my financial stress is causing me to make poor financial decisions.,0,worried financial stress causing make poor financial decisions
I'm constantly feeling like I'm in a financial rut and can't seem to get ahead.,0,constantly feeling like financial seem ahead
I'm struggling to find a way to stay optimistic about my financial future.,0,struggling find stay optimistic financial future
I feel like I'm always living in fear of financial struggles and poverty.,0,feel like always living fear financial struggles poverty
I'm worried that my financial stress is affecting my physical health and well-being.,0,worried financial stress affecting physical health well
I'm constantly feeling like I'm on the verge of a financial crisis.,0,constantly feeling like verge financial crisis
I'm struggling to find a way to prioritize my financial goals and responsibilities.,0,struggling find prioritize financial goals responsibilities
I feel like my financial stress is affecting my ability to enjoy life and be happy.,0,feel like financial stress affecting ability enjoy life happy
I'm worried that my financial stress is affecting my children or family members.,0,worried financial stress affecting children family members
I'm constantly feeling like I'm not doing enough to improve my financial situation.,0,constantly feeling like enough improve financial situation
I'm struggling to find a way to stay motivated and disciplined with my finances.,0,struggling find stay motivated disciplined finances
I feel like I'm always making sacrifices in my career or personal life due to financial stress.,0,feel like always making sacrifices career personal life financial stress
I'm worried that my financial stress is affecting my ability to make rational decisions.,0,worried financial stress affecting ability make rational decisions
I'm constantly feeling like I'm stuck in a financial trap and can't seem to get out.,0,constantly feeling like stuck financial trap seem
I'm struggling to find a way to balance my financial responsibilities with my personal happiness.,0,struggling find balance financial responsibilities personal happiness
I feel like I'm always living in a state of financial uncertainty and insecurity.,0,feel like always living state financial uncertainty insecurity
"I'm constantly feeling tired and fatigued, no matter how much sleep I get.",1,constantly feeling tired fatigued matter much sleep
I'm struggling to fall asleep or stay asleep throughout the night.,1,struggling fall asleep stay asleep throughout night
I feel like I'm always waking up too early and can't get back to sleep.,1,feel like always waking early back sleep
I'm worried that my lack of sleep is affecting my physical and mental health.,1,worried lack sleep affecting physical mental health
I'm constantly feeling irritable and moody because of my sleep deprivation.,1,constantly feeling irritable moody sleep deprivation
I'm afraid of the potential for accidents or mistakes due to my lack of sleep.,1,afraid potential accidents mistakes lack sleep
I'm struggling to find a way to break the cycle of sleep deprivation and exhaustion.,1,struggling find break cycle sleep deprivation exhaustion
I feel like I'm always playing catch-up during the day because of my lack of sleep.,1,feel like always playing catch lack sleep
I'm worried that my sleep deprivation is affecting my cognitive abilities and memory.,1,worried sleep deprivation affecting cognitive abilities memory
I'm constantly relying on caffeine or other stimulants to stay awake during the day.,1,constantly relying caffeine stimulants stay awake
"I'm struggling to manage my stress and anxiety, which is affecting my ability to sleep.",1,struggling manage stress anxiety affecting ability sleep
I feel like my lack of sleep is affecting my relationships and personal life.,1,feel like lack sleep affecting relationships personal life
I'm afraid of the long-term effects of my sleep deprivation.,1,afraid long term effects sleep deprivation
"I'm constantly worried about getting enough sleep, which is causing me even more stress.",1,constantly worried getting enough sleep causing even stress
I'm struggling to find a sleep routine that works for me and my schedule.,1,struggling find sleep routine works schedule
I feel like I'm always in a mental fog because of my lack of sleep.,1,feel like always mental lack sleep
I'm worried that my sleep deprivation is affecting my work performance and career.,1,worried sleep deprivation affecting work performance career
I'm constantly feeling like I'm not at my best because of my lack of sleep.,1,constantly feeling like best lack sleep
I'm struggling to cope with the physical and emotional effects of sleep deprivation.,1,struggling cope physical emotional effects sleep deprivation
I feel like my lack of sleep is affecting my overall quality of life.,1,feel like lack sleep affecting overall quality life
I'm afraid of the potential for serious health problems due to my lack of sleep.,1,afraid potential serious health problems lack sleep
I'm constantly feeling like I'm in a constant state of exhaustion.,1,constantly feeling like constant state exhaustion
I'm worried that my sleep deprivation is affecting my immune system and making me more susceptible to illness.,1,worried sleep deprivation affecting immune system making susceptible illness
I'm struggling to find a way to prioritize my sleep and make it a priority.,1,struggling find prioritize sleep make priority
I feel like I'm always running on empty because of my lack of sleep.,1,feel like always running empty lack sleep
I'm constantly feeling like I'm not getting enough rest and recuperation.,1,constantly feeling like getting enough rest recuperation
I'm worried that my sleep deprivation is affecting my mental health and causing me to feel anxious or depressed.,1,worried sleep deprivation affecting mental health causing feel anxious depressed
I'm struggling to find a way to relax and unwind before bed.,1,struggling find relax unwind
"I feel like I'm always tossing and turning, and I can't get comfortable in bed.",1,feel like always tossing turning comfortable
I'm afraid of the potential for accidents or mistakes due to my lack of sleep.,1,afraid potential accidents mistakes lack sleep
I'm constantly worried about the impact of my sleep deprivation on my loved ones.,1,constantly worried impact sleep deprivation loved ones
I'm struggling to find a way to overcome my insomnia and get a good night's sleep.,1,struggling find overcome insomnia good night sleep
"I feel like I'm always in a rush, and I can't seem to slow down and rest.",1,feel like always rush seem slow rest
I'm worried that my sleep deprivation is affecting my ability to learn and retain information.,1,worried sleep deprivation affecting ability learn retain information
I'm constantly feeling like I'm not at my best because of my lack of sleep.,1,constantly feeling like best lack sleep
I'm struggling to find a way to balance my work and personal life with getting enough sleep.,1,struggling find balance work personal life getting enough sleep
